"closed_date","county_name","facility_address","facility_administrator","facility_capacity","facility_city","facility_name","facility_number","facility_state","facility_status","facility_telephone_number","facility_type","facility_zip","file_date","license_first_date","licensee","regional_office"
"","ALAMEDA","2200 ARROYO ROAD","ANDERSON, ANDREA","70","LIVERMORE","SUNSET CHRISTIAN PRESCHOOL","10200027","CA","LICENSED","(925) 443-5594","DAY CARE CENTER","94550","5252025","1975-03-19T00:00:00","SUNSET COMMUNITY CHURCH","52"
"","ALAMEDA","2030 FRANCISCO STREET","BLYTHE, REBECCA","119","BERKELEY","BERKELEY MONTESSORI SCHOOL","10200050","CA","LICENSED","(510) 849-8340","DAY CARE CENTER","94709","5252025","1974-12-30T00:00:00","BERKELEY MONTESSORI SCHOOL","2"
"2021-09-10T00:00:00","ALAMEDA","20613 STANTON AVENUE","DIANA WOOD","54","CASTRO VALLEY","BRIGHT WORLD PRESCHOOL","10200078","CA","CLOSED","(510) 581-1580","DAY CARE CENTER","94546","5252025","1974-03-18T00:00:00","CALVARY COMMUN.CHRISTIAN CTR.OF THE ASSEMBL.OF GOD","52"
"","ALAMEDA","1140 WALNUT ST","KATHY CHEW","52","BERKELEY","CHILDRENS COMMUNITY CENTER","10200115","CA","LICENSED","(510) 528-6975","DAY CARE CENTER","94707","5252025","1985-07-15T00:00:00","CHILDREN'S COMMUNITY CENTER, INC","2"
"","ALAMEDA","20600 JOHN DRIVE","BRIANA ABREU","123","CASTRO VALLEY","HAPPINESS HILL PRESCHOOL AND DAY CARE","10200263","CA","LICENSED","(510) 537-0773","DAY CARE CENTER","94546","5252025","1974-10-29T00:00:00","NEIGHBORHOOD CHURCH OF CASTRO VALLEY","52"
"","ALAMEDA","400 HIGHLAND AVENUE","JOANNA WOOD","20","PIEDMONT","HIGHLANDS PRE-SCHOOL","10200300","CA","LICENSED","(510) 547-4242","DAY CARE CENTER","94611","5252025","1974-03-14T00:00:00","HIGHLANDS PRESCHOOL, INC","2"
"","ALAMEDA","1020 MOCHO STREET","KING, CHRISTIE","121","LIVERMORE","HOLY CROSS LUTHERAN NURSERY SCHOOL","10200306","CA","LICENSED","(925) 447-1864","DAY CARE CENTER","94550","5252025","1974-11-27T00:00:00","HOLY CROSS LUTHERAN CHURCH","52"
"","ALAMEDA","7421 AMARILLO ROAD","JAMES, LESLIE","44","DUBLIN","JOHN KNOX CO-OP PRESCHOOL","10200334","CA","LICENSED","(925) 828-2887","DAY CARE CENTER","94568","5252025","1992-11-30T00:00:00","JOHN KNOX PRESBYTERIAN CHURCH","52"
"","ALAMEDA","1711 - 2ND STREET","CARNAHAN, MICHELLE","24","ALAMEDA","KIDDIE KAMPUS COOPERATIVE PLAY SCHOOL","10200356","CA","LICENSED","(510) 521-1218","DAY CARE CENTER","94501","5252025","1975-02-04T00:00:00","KIDDIE KAMPUS COOPERATIVE PLAY SCHOOL, INC.","2"
"","ALAMEDA","3518-3546 LAKESHORE AVENUE","THOMPSON, RAE RITA F","49","OAKLAND","LAKESHORE CHILDREN'S CENTER","10200370","CA","LICENSED","(510) 893-4048","DAY CARE CENTER","94610","5252025","1975-03-01T00:00:00","LAKESHORE AVENUE BAPTIST CHURCH, INC.","2"
"","ALAMEDA","400 HIGHLAND AVENUE","SHELLEY JO MURRAY","20","PIEDMONT","LINDA BEACH COOPERATIVE PLAY SCHOOL","10200389","CA","LICENSED","(510) 547-4432","DAY CARE CENTER","94611","5252025","1975-03-24T00:00:00","LINDA BEACH COOPERATIVE PLAY SCHOOL","2"
"","ALAMEDA","2666 MOUNTAIN BOULEVARD","SUSAN RUBIO","40","OAKLAND","SEQUOIA NURSERY SCHOOL","10200592","CA","LICENSED","(510) 531-8853","DAY CARE CENTER","94611","5252025","1974-05-28T00:00:00","SEQUOIA NURSERY SCHOOL, INC","2"
"","ALAMEDA","12540 SKYLINE BOULEVARD","CORSON, NAOMI","34","OAKLAND","SKYLINE PRESCHOOL","10200602","CA","LICENSED","(510) 530-0884","DAY CARE CENTER","94619","5252025","1985-01-21T00:00:00","SKYLINE COMMUNITY UNITED CHURCH OF CHRIST","2"
"","ALAMEDA","2901 CALIFORNIA STREET","DORIAN BURNLEY","52","BERKELEY","BERKELEY YMCA HEAD START - SOUTH YMCA","10200607","CA","LICENSED","(510) 848-9092","DAY CARE CENTER","94703","5252025","1975-05-15T00:00:00","YMCA OF THE EAST BAY","2"
"","ALAMEDA","4000 REDWOOD ROAD","NIENU, JAN","107","OAKLAND","FIRST COVENANT TREEHOUSE PRESCHOOL","10201132","CA","LICENSED","(510) 531-0320","DAY CARE CENTER","94619","5252025","1975-09-12T00:00:00","FIRST COVENANT CHURCH OF OAKLAND.","2"
"","ALAMEDA","26236 ADRIAN AVENUE","SUNDARI GANESAN","59","HAYWARD","MONTESSORI CHILDREN'S HOUSE OF HAYWARD","10203130","CA","LICENSED","(510) 782-4427","DAY CARE CENTER","94545","5252025","1978-05-11T00:00:00","MONTESSORI CHILDREN'S HOUSE OF HAYWARD, INC.","52"
"","ALAMEDA","858 WASHINGTON BOULEVARD","STERLING, MARIANNE","75","FREMONT","PRINCE OF PEACE PRECHOOL- MISSION HILLS","10204114","CA","INACTIVE","(510) 657-9269","DAY CARE CENTER","94539","5252025","1980-07-07T00:00:00","PRINCE OF PEACE LUTHERAN CHURCH OF CENTERVILLE, CA","52"
"","ALAMEDA","941 THE ALAMEDA","PLETCHER, ABIGAIL","24","BERKELEY","DANDELION NURSERY SCHOOL, INC","10204387","CA","LICENSED","(510) 526-1735","DAY CARE CENTER","94707","5252025","2006-03-27T00:00:00","DANDELION NURSERY SCHOOL, INC","2"
"2020-07-01T00:00:00","ALAMEDA","2845 WOOLSEY AVENUE","GRAHAM, DEBORAH","61","BERKELEY","CLAREMONT DAY NURSERIES INC","10204414","CA","CLOSED","(510) 654-2511","DAY CARE CENTER","94705","5252025","1982-03-02T00:00:00","MORABITO, THOMAS A. AND FRANCES J","2"
"2021-09-10T00:00:00","ALAMEDA","5830 COLLEGE AVE","NERVIS, DIANNA","34","OAKLAND","CLAREMONT DAY NURSERIES INC","10204415","CA","CLOSED","(510) 658-5208","DAY CARE CENTER","94618","5252025","1980-03-03T00:00:00","MORABITO, THOMAS A. & FRANCES J.","2"
"","ALAMEDA","39700 MISSION BOULEVARD","BROMLEY, ELIZABETH","116","FREMONT","KIMBER HILLS PRESCHOOL","10204515","CA","LICENSED","(510) 651-5437","DAY CARE CENTER","94539","5252025","1980-04-29T00:00:00","FREMONT COMMUNITY CHURCH","52"
"2023-02-27T00:00:00","ALAMEDA","1728 ALCATRAZ AVE.","NONE","36","BERKELEY","PROGRESSIVE CHRISTIAN CHILDRENS CENTER","10204860","CA","CLOSED","(510) 655-3660","DAY CARE CENTER","94703","5252025","1981-05-28T00:00:00","PROGRESSIVE CHRISTIAN DAY CARE CENTER","2"
"","ALAMEDA","330 EUCLID","FENYVES, RACHEL","60","OAKLAND","GAN AVRAHAM PRESCHOOL","10205169","CA","LICENSED","(510) 763-7528","DAY CARE CENTER","94610","5252025","1981-04-24T00:00:00","TEMPLE BETH ABRAHAM.","2"
"","ALAMEDA","304 LESTER AVENUE","GALLO, MARIA","46","OAKLAND","LAKE SCHOOL (THE)","10205449","CA","LICENSED","(510) 839-4227","DAY CARE CENTER","94606","5252025","1981-09-28T00:00:00","LAKE SCHOOL CORPORATION (THE)","2"
"2023-07-10T00:00:00","ALAMEDA","7421 AMARILLO ROAD","LISA LOCUS","31","DUBLIN","JOY PRESCHOOL AND DAY CARE CENTER","10205609","CA","CLOSED","(925) 829-3233","DAY CARE CENTER","94568","5252025","1983-06-22T00:00:00","JOY PRESCHOOL/DAYCARE CTR.JOHN KNOX U.PRESB.CHURCH","52"
"","ALAMEDA","4618 ALLENDALE AVE","CHELSEA ROYALTY","30","OAKLAND","PETER PAN CO-OP NURSERY SCHOOL MAXWELL HOUSE","10205610","CA","LICENSED","(510) 261-5210","DAY CARE CENTER","94619","5252025","1984-11-13T00:00:00","PETER PAN CO-OP NURSERY SCHOOL","2"
"2023-08-06T00:00:00","ALAMEDA","647-55TH STREET","REYNOLDS, MARILYN","20","OAKLAND","OAKLAND HEAD START - FANNIE WALL","10205652","CA","CLOSED","(510) 658-0960","DAY CARE CENTER","94609","5252025","1982-10-21T00:00:00","CITY OF OAKLAND","2"
"2022-09-30T00:00:00","ALAMEDA","3200 HOPYARD ROAD","ANA BERTHA FERNANDEZ","100","PLEASANTON","ADVENTURES IN LEARNING","10205718","CA","CLOSED","(925) 462-7123","DAY CARE CENTER","94588","5252025","1994-08-28T00:00:00","HARVEST VALLEY CHRISTIAN CHURCH, INC.","52"
"","ALAMEDA","2234 - 9TH STREET","EVE UBERMAN","84","BERKELEY","NIA HOUSE LEARNING CENTER","10205758","CA","LICENSED","(510) 845-6099","DAY CARE CENTER","94710","5252025","1982-09-20T00:00:00","NIA HOUSE LEARNING CENTER","2"
"","ALAMEDA","451 DAVIS STREET","MARTINEZ, REBECCA","48","SAN LEANDRO","ST. LEANDER PRE-KINDERGARTEN","10205790","CA","LICENSED","(510) 351-4144","DAY CARE CENTER","94577","5252025","1982-12-10T00:00:00","ROMAN CATHOLIC BISHOP OF OAKLAND","52"
"","ALAMEDA","7500 INSPIRATION DRIVE","JARIN, RINA","132","DUBLIN","VALLEY CHRISTIAN PRESCHOOL","10205821","CA","LICENSED","(925) 560-6235","DAY CARE CENTER","94568","5252025","1994-03-01T00:00:00","VALLEY CHRISTIAN CENTER OF DUBLIN","52"
"","ALAMEDA","2372 INTERNATIONAL BLVD","SANDRA PHELPS","24","OAKLAND","AGNES MEMORIAL","10205830","CA","LICENSED","(510) 533-1101","DAY CARE CENTER","94601","5252025","1982-12-14T00:00:00","AGNES MEMORIAL CHURCH OF GOD IN CHRIST","2"
"","ALAMEDA","18550 REDWOOD ROAD","LISA MILLER","29","CASTRO VALLEY","FIRST BAPTIST PRESCHOOL - A KIDS KINGDOM","10205961","CA","LICENSED","(510) 889-8800","DAY CARE CENTER","94546","5252025","1983-09-28T00:00:00","FIRST BAPTIST CHURCH CASTRO VALLEY","52"
"2023-06-14T00:00:00","ALAMEDA","1523 WILLOW ST.","MCRAE, DONNA","24","ALAMEDA","BAYSIDE MONTESSORI ASSOCIATION","10206014","CA","CLOSED","(510) 865-6255","DAY CARE CENTER","94501","5252025","1986-01-09T00:00:00","BAYSIDE MONTESSORI ASSOCIATION","2"
"","ALAMEDA","1086 8TH STREET","YOUNGBLOOD, JENNIFER","261","OAKLAND","ST. VINCENT'S DAY HOME","10206027","CA","LICENSED","(510) 832-8324","DAY CARE CENTER","94607","5252025","1983-02-28T00:00:00","SHAHEED, KATE","2"
"","ALAMEDA","23640 REED WAY","HA, MITCHELL","264","HAYWARD","HUSD CHILD DEV. PROGRAM - HELEN TURNER","10206034","CA","LICENSED","(510) 783-3793","DAY CARE CENTER","94541","5252025","1981-02-11T00:00:00","HAYWARD UNIFIED SCHOOL DISTRICT","52"
"","ALAMEDA","2660 EAST 16TH STREET","LERMA, JORGE","88","OAKLAND","OUSD - CENTRO INFANTIL DE LA RAZA","10206036","CA","LICENSED","(510) 879-0819","DAY CARE CENTER","94601","5252025","1982-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","2410- 10TH AVENUE","ASENSIOSMENDOZA, OFELIA","64","OAKLAND","OUSD - BELLA VISTA","10206037","CA","LICENSED","(510) 879-1657","DAY CARE CENTER","94606","5252025","1982-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","7557 AMADOR VALLEY BOULEVARD","BHAVYA DOSHI","36","DUBLIN","RESURRECTION LUTHERAN INFANT CARE CENTER","10206066","CA","LICENSED","(925) 828-2122","INFANT CENTER","94568","5252025","1984-03-27T00:00:00","LUTHERAN CHURCH OF THE RESURRECTION","52"
"2024-10-03T00:00:00","ALAMEDA","2009 10TH STREET","CARLOTA HERNANDEZ DE CRUZ","70","BERKELEY","BERKELEY YMCA HEAD START - WEST","10206120","CA","LICENSED","(510) 848-9092","DAY CARE CENTER","94710","5252025","1984-12-21T00:00:00","YMCA OF THE EAST BAY","2"
"","ALAMEDA","291 - 10TH STREET","ADAMS AM/LAU PM","82","OAKLAND","OUSD - YUK YAU","10206127","CA","LICENSED","(510) 874-7759","DAY CARE CENTER","94607","5252025","1982-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"2024-08-23T00:00:00","ALAMEDA","3825 CALIFORNIA STREET","TRAVERS, SHARON","60","OAKLAND","OUSD - LAUREL","10206128","CA","CLOSED","(510) 531-6226","DAY CARE CENTER","94619","5252025","1982-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","900 FALLON STREET","ANDREWS, CYNTHIA","98","OAKLAND","LANEY COLLEGE CHILDREN'S CENTER","10206129","CA","LICENSED","(510) 464-3575","DAY CARE CENTER","94607","5252025","1982-06-25T00:00:00","PERALTA COMMUNITY COLLEGE DISTRICT","2"
"","ALAMEDA","1322 - 86TH AVENUE","TURNER, ALFREDA","96","OAKLAND","OUSD - HIGHLAND","10206130","CA","LICENSED","(510) 879-0815","DAY CARE CENTER","94621","5252025","1982-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","11850 CAMPUS DRIVE","JONES, CAROLINE","101","OAKLAND","OUSD - HINTIL KUU CA","10206131","CA","LICENSED","(510) 879-0840","DAY CARE CENTER","94619","5252025","1982-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","800-33RD STREET","REED, VONZELE","72","OAKLAND","OUSD - HARRIET TUBMAN","10206137","CA","LICENSED","(510) 654-7890","DAY CARE CENTER","94608","5252025","1982-03-18T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","901 - 105TH AVENUE","OFELIA ASENCIOS-MENDOZA","72","OAKLAND","OUSD - STONEHURST","10206139","CA","LICENSED","(510) 639-3382","DAY CARE CENTER","94603","5252025","1980-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","12500 CAMPUS DRIVE","ERICA HARRELL","98","OAKLAND","MERRITT COLLEGE CHILDREN'S CENTER","10206141","CA","LICENSED","(510) 436-2436","DAY CARE CENTER","94619","5252025","1982-06-25T00:00:00","PERALTA COMMUNITY COLLEGE DISTRICT","2"
"","ALAMEDA","2618 GRANDE VISTA AVENUE","BIRDIE WINROW","79","OAKLAND","OUSD - MANZANITA","10206146","CA","LICENSED","(510) 879-0829","DAY CARE CENTER","94601","5252025","1982-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","1975 - 40TH AVENUE","GRIFFIN, ANASTASIA","48","OAKLAND","OUSD - JEFFERSON","10206151","CA","LICENSED","(510) 436-3700","DAY CARE CENTER","94601","5252025","1982-12-05T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","4801 LAWTON AVENUE","ANNA MANSKER","48","OAKLAND","OUSD - EMERSON CHILD DEVELOPMENT CENTER","10206152","CA","LICENSED","(510) 879-0811","DAY CARE CENTER","94609","5252025","1982-12-04T00:00:00","OAKLAND UNIFIED SCHOOL DISTRICT","2"
"","ALAMEDA","2794 GARDEN STREET","HUONG HUYNH","60","OAKLAND","BOOTH MEMORIAL DAY CARE","10206158","CA","LICENSED","(510) 535-5088","DAY CARE CENTER","94601","5252025","1982-11-25T00:00:00","SALVATION ARMY, A CALIFORNIA CORPORATION","2"
"","ALAMEDA","43030 NEWPORT DRIVE","ORTIZ, ANA","60","FREMONT","YMCA OF THE EAST BAY Y-KIDS GRIMMER","10206169","CA","INACTIVE","(510) 651-2457","SCHOOL AGE DAY CARE CENTER","94538","5252025","","YMCA OF THE EAST BAY","52"
"","ALAMEDA","3500 EAST 9TH STREET","GWEN BABAOYE","70","OAKLAND","TWENTY-FOUR HOUR OAKLAND PARENT/TEACHER C.CTR. #2","10206194","CA","LICENSED","(510) 261-0162","DAY CARE CENTER","94601","5252025","1981-08-01T00:00:00","24 HR. OAKLAND PARENT-TEACHER CHILDREN'S CTR.","2"
"2022-12-05T00:00:00","ALAMEDA","1510 VIA SONYA","ADAMIC, KATHLEEN","80","SAN LORENZO","ADVENTURE TIME - DEL REY","10206772","CA","CLOSED","(510) 276-5414","DAY CARE CENTER","94580","5252025","1984-09-19T00:00:00","TULLER CORPORATION","52"
"","ALAMEDA","4432 MOUNTAIN BOULEVARD","WANKEN, DENNIS","45","OAKLAND","MOUNTAIN BOULEVARD MONTESSORI SCHOOL","10208784","CA","LICENSED","(510) 482-2850","DAY CARE CENTER","94619","5252025","1985-04-01T00:00:00","WANKEN, ELENI KOLLIAS.","2"
"","ALAMEDA","499 SPRUCE STREET","CASHER, SUSANA","108","BERKELEY","STEP ONE SCHOOL","10209297","CA","LICENSED","(510) 527-9021","DAY CARE CENTER","94708","5252025","1985-06-12T00:00:00","STEP ONE SCHOOL","2"
"","ALAMEDA","391 ONTARIO DRIVE","JULIE HOPKINS","120","LIVERMORE","LARPD EXTENDED STUDENT SERVICES - SMITH","10209363","CA","LICENSED","(925) 960-2468","SCHOOL AGE DAY CARE CENTER","94550","5252025","1985-07-02T00:00:00","LIVERMORE AREA RECREATION AND PARKS DISTRICT","52"
"","ALAMEDA","1161 STERLING AVENUE","BERLAND, KATHLEEN","40","BERKELEY","BERKELEY HILLS NURSERY SCHOOL","10209453","CA","LICENSED","(510) 849-1216","DAY CARE CENTER","94708","5252025","1985-11-26T00:00:00","BERKELEY HILLS PARENTS' ASSOCIATION","2"
"","ALAMEDA","2717 GARBER STREET","CELESTE LOW","10","BERKELEY","ST. JOHN'S CENTER CHILD CARE PROGRAM","10209466","CA","LICENSED","(415) 549-9342","INFANT CENTER","94705","5252025","1985-09-24T00:00:00","ST. JOHN'S PRESBYTERIAN CHURCH OF BERKELEY, CA","2"
"","ALAMEDA","1000 CAMELIA STREET","ACOSTA, DIANA","64","BERKELEY","CENTRO VIDA BILINGUAL CHILDCARE CENTER","10209542","CA","LICENSED","(510) 525-1463","DAY CARE CENTER","94710","5252025","1985-11-04T00:00:00","BAY AREA HISPANO INSTITUTE FOR ADVANCEMENT, INC.","2"
"","ALAMEDA","642 DOLORES AVENUE","CHASE, AMANDA","49","SAN LEANDRO","BETH SHOLOM PRESCHOOL","10209547","CA","LICENSED","(510) 357-8505","DAY CARE CENTER","94577","5252025","1985-08-20T00:00:00","SAN LEANDRO HEBREW CONGREGATION, THE","52"
"","ALAMEDA","4700 EAST 14TH STREET","BELL-WILSON, G. J.","20","OAKLAND","TWENTY FOUR HOUR-OAKLAND PARENT TEACHER C.C.#1","10209666","CA","LICENSED","(510) 534-6030","DAY CARE CENTER","94601","5252025","1985-09-05T00:00:00","TWENTY-FOUR-HOUR OAKLAND PARENT TEACHER C.C., INC.","2"
"2022-06-01T00:00:00","ALAMEDA","6686 CHABOT ROAD","PETERSON, GAYLE","275","OAKLAND","ADVENTURE TIME - CHABOT","10209728","CA","CLOSED","(510) 655-8151","SCHOOL AGE DAY CARE CENTER","94618","5252025","1987-02-28T00:00:00","TULLER CORPORATION","2"
"","ALAMEDA","41700 DENISE STREET","WONG, JAIME","60","FREMONT","YMCA OF THE EAST BAY Y-KIDS MISSION VALLEY","10209776","CA","LICENSED","(510) 659-9427","DAY CARE CENTER","94539","5252025","1986-02-19T00:00:00","YMCA OF THE EAST BAY","52"
"","ALAMEDA","405 EAST JACK LONDON BOULEVARD","ROBIN ENG","44","LIVERMORE","NEW HORIZONS PRESCHOOL AND DAY CARE","10209783","CA","LICENSED","(925) 455-6082","DAY CARE CENTER","94551","5252025","1985-12-20T00:00:00","NEW HORIZONS NURSERY SCHOOLS, INC.","52"
"","ALAMEDA","3021 BROOKDALE AVENUE","CHRISTA EDWARDS","54","OAKLAND","BLUESKIES FOR CHILDREN - ELLEN SHERWOOD NURS SCH","10209844","CA","LICENSED","(510) 261-1077","DAY CARE CENTER","94602","5252025","1986-06-09T00:00:00","BLUESKIES FOR CHILDREN, INC","2"
"2024-05-21T00:00:00","ALAMEDA","45150 GRIMMER","NORTH, BRENDA KAY","58","FREMONT","CHILD'S HIDEAWAY, A","10209901","CA","CLOSED","(510) 656-3218","DAY CARE CENTER","94539","5252025","1986-01-12T00:00:00","NORTH, BRENDA KAY","52"
"","ALAMEDA","850 MASONIC AVENUE","MARTLING, NANCY","30","ALBANY","ALBANY PRESCHOOL","10209917","CA","LICENSED","(510) 527-2281","DAY CARE CENTER","94706","5252025","1986-06-02T00:00:00","ALBANY PRESCHOOL","2"
